X,Y,class
1.352,0.661,1.0
-1.225,0.507,1.0
-1.819,0.979,1.0
-1.248,1.117,1.0
1.803,-3.569,0.0
-0.832,1.764,1.0
-0.058,1.636,1.0
1.388,0.448,1.0
-0.421,-1.67,1.0
-0.377,4.293,0.0
-1.859,-0.994,1.0
2.224,3.569,0.0
-0.301,2.001,1.0
1.292,-1.246,1.0
1.475,-1.394,1.0
-0.03,-1.523,1.0
-3.796,-1.209,0.0
0.446,-1.561,1.0
-1.868,-0.129,1.0
-2.535,-2.868,0.0
1.026,0.796,1.0
-2.147,3.665,0.0
0.108,-3.969,0.0
1.353,0.662,1.0
-3.854,1.666,0.0
-3.446,0.878,0.0
1.077,4.085,0.0
1.987,-0.422,1.0
0.396,-1.686,1.0
1.566,-0.677,1.0
-0.982,-3.415,0.0
-1.222,4.028,0.0
-0.258,1.434,1.0
4.054,0.217,0.0
-0.536,-4.736,0.0
-3.118,3.278,0.0
-1.189,1.153,1.0
1.359,1.581,1.0
0.583,-1.374,1.0
3.03,2.337,0.0
-2.657,-2.719,0.0
1.484,3.769,0.0
-2.875,-2.561,0.0
2.328,-0.346,1.0
-3.454,-2.353,0.0
-3.429,-1.518,0.0
1.197,-2.049,1.0
0.402,1.729,1.0
3.288,-3.037,0.0
-1.216,-1.504,1.0
0.66,1.185,1.0
0.078,-2.02,1.0
-3.704,-0.601,0.0
1.237,0.739,1.0
3.509,1.305,0.0
3.463,1.42,0.0
0.161,1.643,1.0
3.752,0.549,0.0
-3.988,1.641,0.0
-1.057,-1.183,1.0
-2.528,-2.54,0.0
3.558,1.66,0.0
0.717,0.409,1.0
-3.858,2.036,0.0
0.51,1.463,1.0
-1.241,1.235,1.0
-0.451,1.006,1.0
-0.296,-1.612,1.0
2.705,2.835,0.0
1.343,0.833,1.0
0.672,3.665,0.0
4.016,-0.393,0.0
0.841,1.111,1.0
-1.702,0.107,1.0
-3.195,-2.315,0.0
-3.454,-1.802,0.0
-0.006,1.187,1.0
3.319,1.583,0.0
0.165,2.004,1.0
-3.414,-2.888,0.0
-0.583,0.685,1.0
2.943,2.498,0.0
-3.405,-1.93,0.0
2.103,2.809,0.0
-2.315,-3.027,0.0
1.21,1.338,1.0
2.289,0.175,1.0
-1.638,0.566,1.0
-2.011,-0.028,1.0
-2.791,-3.118,0.0
0.993,-3.755,0.0
3.115,-2.142,0.0
2.058,0.939,1.0
-4.002,1.729,0.0
-1.481,-0.459,1.0
2.897,-3.64,0.0
-1.687,-0.216,1.0
1.335,3.761,0.0
2.323,2.591,0.0
-0.495,-1.589,1.0
-1.273,0.102,1.0
-0.522,-3.917,0.0
1.14,-1.095,1.0
-3.794,-0.787,0.0
-0.202,1.377,1.0
-0.919,1.87,1.0
1.133,1.082,1.0
1.45,-0.896,1.0
-1.426,3.415,0.0
0.307,-1.51,1.0
1.662,0.722,1.0
-1.321,-0.973,1.0
1.008,0.066,1.0
-1.503,-1.252,1.0
2.223,3.567,0.0
2.888,-2.819,0.0
-2.29,3.29,0.0
1.394,-0.234,1.0
0.968,0.644,1.0
-3.142,-2.058,0.0
0.482,-1.632,1.0
2.712,-3.262,0.0
-1.579,1.001,1.0
-4.418,-0.341,0.0
-4.28,1.059,0.0
1.096,1.124,1.0
0.938,0.765,1.0
2.874,-2.216,0.0
0.117,-1.501,1.0
-1.726,-0.753,1.0
0.742,1.53,1.0
-0.122,-1.734,1.0
-4.092,-1.545,0.0
1.891,-0.0,1.0
0.957,0.008,1.0
2.803,2.804,0.0
0.155,3.735,0.0
-3.941,1.367,0.0
3.185,0.85,0.0
2.129,3.364,0.0
3.351,1.837,0.0
-3.258,-0.062,0.0
-1.121,1.089,1.0
-4.203,-1.495,0.0
0.193,-1.751,1.0
0.931,-1.611,1.0
-1.325,-1.149,1.0
-4.108,-0.074,0.0
-0.734,-0.923,1.0
-2.401,-3.234,0.0
-0.585,1.334,1.0
-0.857,3.961,0.0
1.265,-0.403,1.0
2.395,-2.927,0.0
1.354,-0.734,1.0
3.28,-1.805,0.0
-3.51,-3.104,0.0
-0.975,0.684,1.0
2.647,2.736,0.0
0.403,-1.929,1.0
-0.525,1.209,1.0
-1.178,-0.229,1.0
-0.052,1.166,1.0
-1.019,1.67,1.0
-0.124,-1.49,1.0
-0.525,1.507,1.0
-3.164,-2.04,0.0
-0.992,1.384,1.0
-2.452,-2.391,0.0
-3.124,-2.584,0.0
-0.819,-4.205,0.0
3.641,-0.885,0.0
0.883,4.057,0.0
1.513,-0.219,1.0
4.2,-1.177,0.0
-0.593,-3.926,0.0
-3.754,-0.633,0.0
-3.496,-0.383,0.0
-1.185,-1.101,1.0
-0.801,1.286,1.0
4.376,-0.763,0.0
-0.801,1.482,1.0
0.041,-4.128,0.0
1.399,0.569,1.0
-1.168,-1.179,1.0
-0.755,3.996,0.0
-0.877,-4.043,0.0
-0.543,-4.62,0.0
1.428,-0.72,1.0
-2.144,-0.11,1.0
0.877,-1.03,1.0
-0.667,-1.024,1.0
-0.249,1.899,1.0
