X,Y,class
-0.3967,0.278,0.0
-1.2291,0.5395,0.0
0.4358,-0.3515,1.0
0.3969,0.507,0.0
-0.8205,-0.0117,0.0
-0.434,-0.2313,1.0
0.7208,0.0928,1.0
0.4006,0.4431,0.0
-0.6641,0.6478,0.0
-1.3893,-0.0413,0.0
0.0363,-0.4501,0.0
0.9035,0.3574,1.0
0.0564,0.7076,0.0
-1.1404,0.8795,0.0
-0.8337,-0.4184,0.0
0.4581,-0.1719,1.0
0.5461,-0.1732,1.0
1.0756,0.6255,1.0
-0.7871,-0.5919,0.0
-0.9248,0.317,1.0
-1.3257,1.2034,1.0
-0.0316,0.8377,0.0
-0.3398,0.029,0.0
-0.0083,0.8407,0.0
-0.4497,-0.3494,1.0
0.5452,-0.2429,1.0
0.4355,-0.1757,0.0
0.1831,-0.4904,1.0
1.2795,1.1607,1.0
0.7203,-0.0236,1.0
0.008,0.8354,0.0
-1.0874,0.4098,0.0
1.3287,-0.1873,0.0
-0.9769,-0.2096,0.0
-1.3777,0.4394,0.0
1.0081,0.5239,1.0
1.4663,1.6503,1.0
1.4153,-0.213,0.0
-0.2058,-0.3325,1.0
0.6474,-0.1455,1.0
-0.5377,-0.0794,0.0
-0.4872,0.8037,0.0
0.7849,0.4616,0.0
-0.6266,0.0011,1.0
0.1073,-0.2412,0.0
1.0239,0.6259,1.0
1.1975,0.817,1.0
-1.4502,0.3093,0.0
-0.0002,-0.493,1.0
1.3102,0.8273,0.0
1.1086,0.7027,1.0
-0.5304,0.456,0.0
-0.0742,-0.7041,1.0
-1.2738,1.2051,1.0
-0.4091,0.2474,0.0
1.359,1.328,1.0
-0.2323,-0.323,1.0
-0.9404,0.5944,0.0
-1.1945,0.9757,1.0
1.457,0.3703,0.0
0.2886,-0.4343,1.0
0.3287,0.5615,0.0
1.2248,0.4273,0.0
1.0622,0.5721,1.0
1.4621,1.6587,1.0
0.2727,0.7588,0.0
-1.0478,0.6243,1.0
1.3873,-0.451,0.0
-1.4603,1.6583,1.0
0.5327,0.4522,0.0
0.6091,0.2883,0.0
-0.1477,-0.4811,1.0
-0.7447,0.8355,0.0
-0.5974,0.413,0.0
-1.01,0.4954,1.0
0.5728,0.9568,0.0
-0.8571,0.139,1.0
-1.3456,0.8193,0.0
1.0059,-0.2204,0.0
-0.7809,0.1747,1.0
0.2522,-0.5954,1.0
0.1662,-0.465,1.0
-0.8638,0.2313,1.0
-0.4706,-0.2496,1.0
-0.1583,-0.446,1.0
-0.2478,-0.0543,0.0
0.0395,-0.4327,1.0
-1.0063,0.4455,1.0
-0.7813,-0.4654,0.0
0.5164,-0.4376,0.0
-1.4498,1.5712,1.0
-0.6014,-0.144,1.0
-0.6455,-0.0576,0.0
0.6846,-0.3427,0.0
-1.2126,1.0449,1.0
-0.7738,-0.5853,0.0
-0.9056,0.3981,1.0
-1.0653,-0.3414,0.0
-0.7459,-0.0321,1.0
0.6085,-0.1034,1.0
